序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1456,300076,GQY视讯,宁波GQY视讯股份有限公司,浙江,宁波市,13621.82,-10461.79,316,2010-04-30,--,,显示器件,大屏拼接屏显示系统、机器人相关产业,大屏拼接屏显示系统、数字化实验室、教育工程服务、高清摄像头为主的安防产业等四个产业（业务）模式。
1457,300077,国民技术,国民技术股份有限公司,广东,深圳市,69495.71,-48803.59,342,2010-04-30,--,,集成电路,安全芯片类产品和通讯芯片类产品,"以信息安全、SoC、无线射频为核心技术发展方向,涵盖IC设计前端至后端全过程技术,产品涉及安全芯片、移动支付整体解决方案、通讯射频芯片及终端产品等多个方向。"
1458,300078,思创医惠,思创医惠科技股份有限公司,浙江,杭州市,111225.17,13026.23,1678,2010-04-30,--,,电子零部件,防盗标签、RFID标签及系统集成、智慧医疗,EAS、RFID相关产品的研发、制造和销售，以及行业应用解决方案的开发、实施和服务
1459,300079,数码科技,北京数码视讯科技股份有限公司,北京,北京市,135015.84,3649.58,1337,2010-04-30,--,,通信终端设备,广播电视信息、金融、通信、特种需求定制,软件应用与服务、流媒体技术平台、提供双向网络改造综合解决方案；移动支付，互联网及电视第三方支付平台运营，金融IC卡生产销售；影视制作发行及经纪业务。
1460,300080,易成新能,河南易成新能源股份有限公司,河南,开封市,182575.38,-102412.59,3703,2010-06-25,--,,非金属新材料,晶硅片切割刃料、废砂浆回收利用、硅片切割、光伏工程、金刚线制品、工业污水处理、石墨、电池片,太阳能多晶硅片切割刃料与半导体线切割刃料的生产、废砂浆的回收再利用、金刚线的生产与销售、太阳能电站建设、负极材料生产等业务、电池片的生产与销售、光伏电站运营
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1461,300081,恒信东方,恒信东方文化股份有限公司,河北,石家庄市,41439.69,9414.44,786,2010-05-20,--,,移动信息产品销售与服务、面向文化、体育和娱乐领域的专业技术服务,CG/VR内容生产、儿童产业链开发运营、LBE（Location Based Entertainment）城市新娱乐、移动信息产品的销售与服务业务,CG及VR内容生产制作、儿童产业链开发运营及LBE(LocationBasedEntertainment)城市新娱乐、移动信息产品的销售与服务
1462,300082,奥克股份,辽宁奥克化学股份有限公司,辽宁,辽阳市,569888.65,20945.42,1230,2010-05-20,--,,其他化学制品,光伏行业、混凝土外加剂行业,从事环氧乙烷生产及其衍生精细化工新材料的制造业务
1463,300083,劲胜智能,广东劲胜智能集团股份有限公司,广东,东莞市,642172.3,46079.89,15123,2010-05-20,--,,电子零部件,计算机设备、通信设备,消费电子领域精密模具及精密结构件的设计、研发、生产与销售
1464,300084,海默科技,海默科技(集团)股份有限公司,甘肃,兰州市,51163.87,1288.37,1022,2010-05-20,--,,矿山冶金机械,多相计量产品、压裂泵液力端、油气增产工程专用仪器、油气田环保设备,油田勘探和开发过程中所需的多相计量设备、钻采设备、压裂设备的生产与销售以及移动测井服务、定向钻井服务等油田服务业务。
1465,300085,银之杰,深圳市银之杰科技股份有限公司,广东,深圳市,114767.88,2223.85,873,2010-05-26,--,,行业应用软件,金融软件、金融专用设备、短彩信通讯服务、移动互联网应用服务、电子商务,为银行等金融机构提供软件产品、软件开发、金融专用设备和技术服务；投资发展支票自助结算金融服务和企业移动支付业务；提供移动商务服务和大数据运营服务；投资发展个人征信服务业务及其相关业务；电子商务服务业务。
1466,300086,康芝药业,康芝药业股份有限公司,海南,海口市,48083.17,5019.69,834,2010-05-26,--,,化学制剂,儿童药,儿童用药的研发、生产和销售
1467,300087,荃银高科,安徽荃银高科种业股份有限公司,安徽,合肥市,94746.59,6246.19,632,2010-05-26,--,,种子,农作物产品,杂交水稻、玉米、小麦、瓜菜、棉油等农作物种子研发、繁育、加工、推广和服务
1468,300088,长信科技,芜湖长信科技股份有限公司,安徽,芜湖市,1088437.24,54440.19,13508,2010-05-26,--,,显示器件,电子材料,ITO导电玻璃、电容式触摸屏SENSOR及其模组、TFT玻璃减薄
1469,300089,文化长城,广东文化长城集团股份有限公司,广东,潮州市,54011.78,7346.18,1227,2010-06-25,--,,陶瓷,陶瓷类产品,艺术陶瓷的研发、生产和销售
1470,300090,盛运环保,安徽盛运环保(集团)股份有限公司,安徽,安庆市,135780.29,-131840.11,3118,2010-06-25,--,,环保设备,输送机械产品、环保机械产品,生产、制造传输机械产品和环保设备产品
1471,300091,金通灵,江苏金通灵流体机械科技股份有限公司,江苏,南通市,146346.17,12489.87,1203,2010-06-25,--,,其他通用机械,流体机械产品,离心风机系列产品的生产与销售
1472,300092,科新机电,四川科新机电股份有限公司,四川,德阳市,33363.71,598.51,551,2010-07-08,--,,其他通用机械,重型压力容器、核电及核化工设备、常规电站辅机设备及管系产品,主要从事三类压力容器产品的设计、制造、安装、销售以及民用核安全机械设备制造。
1473,300093,金刚玻璃,广东金刚玻璃科技股份有限公司,广东,汕头市,60054.86,1790.9,1483,2010-07-08,--,,玻璃,安防玻璃、光伏玻璃（组件）、钢门窗防火型材、安装工程,特种玻璃产品的研发、生产和销售
1474,300094,国联水产,湛江国联水产开发股份有限公司,广东,湛江市,409580.67,14413.26,3779,2010-07-08,--,,淡水渔业,对虾和罗非鱼种苗、水产饲料、初加工产品、深加工食品,主要从事水产品的研究、开发、养殖、收购、冷冻、加工和销售；水产饲料的制造和销售；水产种苗的引进、繁育、养殖及销售；速冻水产品、速冻食品的加工和销售。
1475,300095,华伍股份,江西华伍制动器股份有限公司,江西,宜春市,67993.24,5176.97,1508,2010-07-28,--,,其他专用机械,装备制造、劳务收入,从事工业制动器及其控制系统的研发、设计、制造和销售
1476,300096,易联众,易联众信息技术股份有限公司,福建,厦门市,62554.01,1812.17,2036,2010-07-28,--,,行业应用软件,民生服务、融资服务、保险经纪,系统集成软件及硬件的研发、生产和销售，提供相关技术咨询服务。
1477,300097,智云股份,大连智云自动化装备股份有限公司,辽宁,大连市,91299.18,17031.04,1349,2010-07-28,--,,其他通用机械,3C智能制造装备板块、汽车智能制造装备板块、新能源智能制造装备板块,成套自动化装备的研发、设计、生产与销售
1478,300098,高新兴,高新兴科技集团股份有限公司,广东,广州市,223701.97,40827.15,2964,2010-07-28,--,,通信配套服务,综合监控系统、铁路行车安全系统、公安执法监督产品、汽车电子标识产品、运营及服务,"提供以视频监控为核心的面向公共安全的平安城市和智能交通综合解决方案、面向银行等金融机构的金融安防解决方案、面向通信运营商的通信运维综合管理解决方案,以及面向智慧城市中移动物联网应用的智慧一卡通软硬件产品及整体解决方案"
1479,300099,精准信息,尤洛卡精准信息工程股份有限公司,山东,泰安市,42291.17,10164.41,525,2010-08-06,--,,矿山冶金机械,煤矿顶板安全监测系统及相关仪器仪表、煤矿巷道锚护机具、煤矿顶板充填材料及工程施工、煤矿井下运输系统、矿山通讯产品、交通数据集成产品、大数据集成及服务、机顶盒产品、技术服务,自动化仪器仪表、计算机软硬件、电子电气设备集成系统开发、生产、销售、维护；计算机系统集成、机电一体化产品、光学仪器的研发、生产、销售、维修；矿山安全防治工程
1480,300100,双林股份,宁波双林汽车部件股份有限公司,浙江,宁波市,427917.17,18216.87,5933,2010-08-06,--,,汽车零部件,汽车配件、模具,汽车零部件及配件、塑料件、五金件、模具的设计、开发、制造、加工等。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1481,300101,振芯科技,成都振芯科技股份有限公司,四川,成都市,44118.54,3053.98,789,2010-08-06,--,,卫星应用,元器件、设计服务、卫星定位终端、北斗运营、安防监控,围绕北斗卫星导航应用的“元器件-终端-系统”产业链提供产品和服务
1482,300102,乾照光电,厦门乾照光电股份有限公司,福建,厦门市,113028.79,21056.03,2123,2010-08-12,--,,LED,蓝绿芯片及外延片、红黄芯片及外延片、砷化镓太阳能电池外延片,半导体光电产品的研发、生产和销售
1483,300103,达刚路机,西安达刚路面机械股份有限公司,陕西,西安市,29362.28,4333.17,267,2010-08-12,--,,公路养护机械,公路筑养路机械设备,公路筑养路机械设备的开发设计、生产、销售、技术服务和海内外工程总包业务。
1484,300104,乐视网,乐视网信息技术(北京)股份有限公司,北京,北京市,702521.58,-1387804.48,2180,2010-08-12,--,,网络媒体,网络视频服务、网络终端设备、视频平台增值服务,提供网络视频服务、网络终端设备及视频平台增值服务
1485,300105,龙源技术,烟台龙源电力技术股份有限公司,山东,烟台市,59595.99,1598.64,627,2010-08-20,--,,其他通用机械,节能环保,燃煤锅炉节油点火、低氮燃烧、电站余热利用、锅炉综合改造
1486,300106,西部牧业,新疆西部牧业股份有限公司,新疆,石河子市,69255.72,-36702.11,1083,2010-08-20,--,,畜牧养殖,畜牧业、工业（乳制品加工）,乳制品加工与销售、自产生鲜乳生产与销售、外购生鲜乳收购与销售、种畜养殖与销售、分割肉加工与销售、饲料生产与销售、油生产与销售、生猪养殖与销售、牧草收割及机耕服务等。
1487,300107,建新股份,河北建新化工股份有限公司,河北,沧州市,53587.96,8707.57,611,2010-08-20,--,,其他化学制品,间氨基苯酚、间羟基、ODB2,苯系中间体产品的生产与销售
1488,300108,吉药控股,吉药控股集团股份有限公司,吉林,通化市,70043.91,20246.4,822,2010-08-25,--,,中药生产,化工产品、医药产品,白炭黑生产和销售以及中成药生产和销售
1489,300109,新开源,博爱新开源医疗科技集团股份有限公司,河南,焦作市,48858.15,9282.32,738,2010-08-25,--,,其他化学原料,精细化工、医疗服务,从事PVP系列产品的研发、生产和销售
1490,300110,华仁药业,华仁药业股份有限公司,山东,青岛市,131187.54,3753.5,2639,2010-08-25,--,,化学制剂,医药工业、医药商业,从事非PVC软袋大容量制剂的研发、生产、销售
1491,300111,向日葵,浙江向日葵光能科技股份有限公司,浙江,绍兴市,153002.1,2370.2,1198,2010-08-27,--,,太阳能,电池片及组件、硅片、加工费、发电,生产、销售多晶硅片、大规格高效晶体硅太阳能电池及组件，太阳能电站投资运行等
1492,300112,万讯自控,深圳万讯自控股份有限公司,广东,深圳市,55191.28,4436.5,866,2010-08-27,--,,仪器仪表,现场仪表、二次仪表及其他、压力仪表及配件、工程安装,工业自动化仪表的研发、生产与销售业务
1493,300113,顺网科技,杭州顺网科技股份有限公司,浙江,杭州市,181580.93,51233.78,1498,2010-08-27,--,,游戏,计算机应用服务、游戏传媒,"针对网吧渠道的互联网娱乐平台以及网吧管理和计费系统的设计、开发和销售;同时利用网吧管理和计费系统所形成的媒体传播效应及所覆盖的网民用户资源,提供网络广告及推广服务和互联网增值服务等服务。"
1494,300114,中航电测,中航电测仪器股份有限公司,陕西,汉中市,124098.72,12944.55,3004,2010-08-27,--,,仪器仪表,航空和军工、应变电测与控制、新型测控器件,电阻应变计、应变式传感器及汽车综合性能检测设备等应变电测产品及相关应用系统的研发、生产和销售
1495,300115,长盈精密,深圳市长盈精密技术股份有限公司,广东,深圳市,843160.37,57096.55,22425,2010-09-02,--,,电子零部件,电子元器件,开发、生产、销售手机及无线上网卡电磁屏蔽件、手机及通讯产品连接器、手机及移动通信终端金属结构(外观)件和LED精密封装支架等。
1496,300116,坚瑞沃能,陕西坚瑞沃能股份有限公司,陕西,西安市,965961.13,-368413.54,8429,2010-09-02,--,,储能设备,消防安防工程及产品、新能源产品及服务,消防产品的生产销售及消防工程安装;锂离子电池(组)及材料的生产销售;新能源汽车销售及租赁。
1497,300117,嘉寓股份,北京嘉寓门窗幕墙股份有限公司,北京,北京市,292985.7,6374.03,1494,2010-09-02,--,,其他建材,节能门窗幕墙系统、太阳能光伏组件、智能装备产品,节能门窗幕墙的研发设计、生产加工、安装及服务。
1498,300118,东方日升,东方日升新能源股份有限公司,浙江,宁波市,1145175.88,64976.8,4306,2010-09-02,--,,太阳能,太阳能电池片、太阳能灯具、太阳能电池组件、太阳能电站EPC及电站转让、LED灯具、光伏电池封装胶膜、系统及辅助光伏产品、光伏建筑一体化示范项目,太阳能电池片、太阳能电池组件以及太阳能灯具等太阳能光伏产品的生产和销售
1499,300119,瑞普生物,天津瑞普生物技术股份有限公司,天津,天津市,104733.45,10489.52,1958,2010-09-17,--,,动物用药,兽药,兽用生物制品、兽用制剂、兽用原料药的研发、生产、销售及技术服务
1500,300120,经纬辉开,天津经纬辉开光电股份有限公司,天津,天津市,88861.27,5597.38,2920,2010-09-17,--,,电线电缆,铜产品、铝产品、电抗器、液晶显示模组、触控显示模组、保护屏,高端电磁线及电力设备制造与触控显示产品制造
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1501,300121,阳谷华泰,山东阳谷华泰化工股份有限公司,山东,聊城市,163780.28,20354.13,1537,2010-09-17,--,,其他橡胶制品,橡胶助剂,橡胶助剂的研发、生产、销售
1502,300122,智飞生物,重庆智飞生物制品股份有限公司,重庆,重庆市,134256.86,43227.54,1811,2010-09-28,--,,生物医药,疫苗、生物制品,疫苗、生物制品的研发、生产和销售
1503,300123,亚光科技,亚光科技集团股份有限公司,湖南,益阳市,104682.52,9655.71,2377,2010-09-28,--,,船舶制造,微波混合集成电路模块及组件、半导体器件及复合材料、金属材料及多混材料的游艇、商务艇、特种船,军用半导体元器件与微波电路及组件的研发、设计、生产、销售与服务
1504,300124,汇川技术,深圳市汇川技术股份有限公司,广东,深圳市,477729.57,106004.18,6619,2010-09-28,--,,其他通用机械,变频器、运动控制、控制技术、传感器、电机控制、电源、核心部件、整机、软件、硬件,工业自动化和新能源相关产品研发、生产和销售
1505,300125,易世达,大连易世达新能源发展股份有限公司,辽宁,大连市,11268.43,-26424.77,132,2010-10-13,--,,余热发电、光伏发电,余热发电、光伏发电,余热发电业务和光伏发电业务
1506,300126,锐奇股份,锐奇控股股份有限公司,上海,上海市,54914.18,444.03,1480,2010-10-13,--,,其他通用机械,电动工具、配件,专业电动工具的研发、生产、销售和服务
1507,300127,银河磁体,成都银河磁体股份有限公司,四川,成都市,52681.43,19296.54,1031,2010-10-13,--,,磁性材料,稀土永磁体,制造、销售永磁合金元件
1508,300128,锦富技术,苏州锦富技术股份有限公司,江苏,苏州市,302146.41,5848.44,2602,2010-10-13,--,,显示器件,光学光电子元器件制造、计算机、通信和其他电子设备制造业、通用设备制造、汽车等零配件制造、软件和信息技术服务业、太阳能行业,从事光电显示薄膜器件生产和提供相关整体解决方案
1509,300129,泰胜风能,上海泰胜风能装备股份有限公司,上海,上海市,159000.02,15369.38,739,2010-10-19,--,,风能,风力发电设备、辅件、零件、各类海洋工程设,风力发电设备、辅件、零件及各类海洋工程设备的生产、销售业务。
1510,300130,新国都,深圳市新国都技术股份有限公司,广东,深圳市,123691.35,7193.39,1851,2010-10-19,--,,专用计算机设备,POS机、密码键盘、外接设备、生物特征识别及身份认证产品,银行卡电子支付终端(POS)机的生产和销售，提供银行卡电子支付终端(POS)机租赁劳务。
1511,300131,英唐智控,深圳市英唐智能控制股份有限公司,广东,深圳市,739987.53,14300.32,1169,2010-10-19,--,,电子元件,电子智能控制器、电子元器件、软件,电子智能控制器的研发、生产和销售，并专注于小型生活电器电子智能控制业务
1512,300132,青松股份,福建青松股份有限公司,福建,南平市,81120.51,9474.6,352,2010-10-26,--,,其他化学制品,林产化学品,松节油深加工系列产品的研发、生产与销售
1513,300133,华策影视,浙江华策影视股份有限公司,浙江,杭州市,524558.97,63443.27,1085,2010-10-26,--,,影视,全网剧销售、影院票房、电影销售、游戏、广告、经纪业务、综艺,从事影视剧制作、发行及衍生业务。
1514,300134,大富科技,深圳市大富科技股份有限公司,广东,深圳市,177929.52,-51175.78,5800,2010-10-26,--,,通信传输设备,射频产品、智能终端结构件、汽车零配件,移动通信基站射频产品、智能终端产品、汽车零部件的研发、生产和销售。
1515,300135,宝利国际,江苏宝利国际投资股份有限公司,江苏,无锡市,179977.94,3751.77,487,2010-10-26,--,,石油加工,沥青业务、通航业务,高等级公路新材料的研发、生产和销售
1516,300136,信维通信,深圳市信维通信股份有限公司,广东,深圳市,343476.78,88904.61,4159,2010-11-05,--,,电子零部件,电子元器件,移动终端天线、3G终端天线、模组天线、3D精密成型天线、高性能天线连接器的生产与经营。
1517,300137,先河环保,河北先河环保科技股份有限公司,河北,石家庄市,104253.77,18816.93,1591,2010-11-05,--,,环保设备,仪器仪表,空气质量连续自动监测系统、水质连续自动监测系统、污水在线自动监测系统、烟气在线自动监测系统、酸雨连续自动监测系统等五大监测系统以及数字应急监测车的研制、生产、销售以及提供环境监测设施运营服务
1518,300138,晨光生物,晨光生物科技集团股份有限公司,河北,邯郸市,277213.58,14282.98,933,2010-11-05,--,,植物提取物,天然植物提取物,辣椒红色素、叶黄素(万寿菊提取物)、辣椒油树脂、番茄红素、红米红色素、棉籽蛋白、棉籽油等天然植物提取物的研发、生产、销售。
1519,300139,晓程科技,北京晓程科技股份有限公司,北京,北京市,13801.18,-19005.62,294,2010-11-12,--,,集成电路,集成电路芯片、集成电路模块、电能表、载波抄表集中器、BOT项目、降陨项目,以集成电路设计及应用领域为主，致力于电力线载波芯片等系列集成电路产品的设计、开发和市场应用，并面向电力公司、电能表供应商等行业用户提供相关技术服务和完整的解决方案。
1520,300140,中环装备,中节能环保装备股份有限公司,陕西,西安市,190141.96,7597.86,1647,2010-11-12,--,,大气污染治理,大气污染减排、电工装备、环保装备、环境能效监控与大数据服务,大气污染减排、电工专用装备、节能环保装备、环境能效监控与大数据服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1521,300141,和顺电气,苏州工业园区和顺电气股份有限公司,江苏,苏州市,54271.03,610.11,414,2010-11-12,--,,电气自控设备,电力成套设备、充电装置、防窃电电能计量装置、电能质量改善装置、安装施工,电力成套设备、电力电子设备及充换电设备的研发、制造、销售和服务，并为用户提供全方位综合性电力应用解决方案。
1522,300142,沃森生物,云南沃森生物技术股份有限公司,云南,昆明市,66826.48,-53713.75,1225,2010-11-12,--,,生物医药,自主疫苗、疫苗代理、药品代理,人用疫苗产品研发、生产、销售
1523,300143,星普医科,广东星普医学科技股份有限公司,广东,东莞市,32922.96,12239.62,734,2010-12-09,--,,食用菌,医疗器械、玛西普伽玛刀、医疗软件、医疗服务,大型放射性医疗设备的研发生产和销售及提供医疗服务。
1524,300144,宋城演艺,宋城演艺发展股份有限公司,浙江,杭州市,302383.12,106761.21,1764,2010-12-09,--,,景区,旅游服务、现场演艺、互联网演艺,主题公园和旅游文化演艺的投资、开发和经营
1525,300145,中金环境,南方中金环境股份有限公司,浙江,杭州市,381465.34,59072.43,4571,2010-12-09,--,,其他通用机械,通用设备、污水污泥、环保咨询设计与治理,不锈钢冲压焊接离心泵及无负压变频供水设备等的研发、制造和销售。
1526,300146,汤臣倍健,汤臣倍健股份有限公司,广东,珠海市,311079.54,76625.56,2302,2010-12-15,--,,其他食品,膳食营养补充剂、胶囊,膳食营养补充剂的研发、生产和销售。
1527,300147,香雪制药,广州市香雪制药股份有限公司,广东,广州市,218731.74,6593.92,3494,2010-12-15,--,,中药生产,抗病毒口服液、板蓝根、橘红系列、中药材,"现代中药及中药饮片的研发、生产与销售,辅之医疗器械、保健用品、软饮料、少量西药产品及医药流通等业务。"
1528,300148,天舟文化,天舟文化股份有限公司,湖南,长沙市,93602.37,13401.67,939,2010-12-15,--,,平面媒体,图书、移动网游戏,图书出版发行业务；移动互联网游戏业务。
1529,300149,量子生物,量子高科(中国)生物股份有限公司,广东,江门市,27535.36,5780.95,330,2010-12-22,--,,食品添加剂,益生元系列产品,专注于以低聚果糖为代表的益生元系列产品的研发、生产和销售
1530,300150,世纪瑞尔,北京世纪瑞尔技术股份有限公司,北京,北京市,52283.51,4674.56,865,2010-12-22,--,,行业应用软件,铁路综合运维服务、铁路及城市轨道交通乘客资讯系统产品和通信系统产品行业，主营铁路行车安全监控系统、铁路综合运维服务、铁路通信系统、乘客资讯系统产品、铁路其他信息系统、水利产品、通信运营商产品,向铁路用户提供行车安全监控系统软件产品及相关服务
1531,300151,昌红科技,深圳市昌红科技股份有限公司,广东,深圳市,59880.39,3469.93,1818,2010-12-22,--,,其他通用机械,高端医疗耗材及试剂、模具及配套注塑产品,精密非金属制品模具研发、设计、制造、塑胶产品的成型生产和产品组装，医疗及实验室耗材等
1532,300152,科融环境,徐州科融环境资源股份有限公司,江苏,徐州市,66179.56,3746.0,731,2010-12-29,--,,大气污染治理,节能环保行业,节能点火及燃烧设备的生产销售、锅炉及钢结构的工程一体化服务、脱硫项目总承包及天然气分布式能源的销售。
1533,300153,科泰电源,上海科泰电源股份有限公司,上海,上海市,107321.7,2896.31,566,2010-12-29,--,,储能设备,环保低噪声柴油发电机组、新能源汽车及动力电池、工程劳务零配件,智能环保电源设备的开发、设计、生产、销售和服务，并为客户提供技术咨询、培训、安装、维修等售前、售后服务
1534,300154,瑞凌股份,深圳市瑞凌实业股份有限公司,广东,深圳市,64807.66,8578.69,1077,2010-12-29,--,,其他通用机械,逆变焊割设备、焊接自动化系列产品和焊接配件类产品,逆变焊割设备、焊接自动化系列产品和焊接配件类产品的研发、生产、销售和服务
1535,300155,安居宝,广东安居宝数码科技股份有限公司,广东,广州市,84502.38,1329.14,1768,2011-01-07,--,,电子零部件,楼宇对讲系统、智能家居系统、防盗报警系统、停车场系统、监控、线缆、液晶显示屏,楼宇对讲、智能家居系统、防盗报警系统、停车场系统、监控、线缆的研发、生产和销售
1536,300156,神雾环保,神雾环保技术股份有限公司,北京,北京市,280939.35,36104.82,999,2011-01-07,--,,环保设备,采矿业、煤化工、石油化工、特色工艺装置、水处理,为电石行业提供工业炉窑清洁生产技术服务，并一直致力于为以电石行业为主的高耗能工业领域提供节能环保的工业炉窑系统的解决方案。
1537,300157,恒泰艾普,恒泰艾普集团股份有限公司,北京,北京市,293348.35,-44613.54,1680,2011-01-07,--,,油田服务,软件销售、技术服务、设备集成及材料销售、装备及备件销售 、贸易,石油勘探产业链的软、硬件产品的研发与销售及相关技术服务
1538,300158,振东制药,山西振东制药股份有限公司,山西,长治市,373160.26,30153.59,3913,2011-01-07,--,,中药生产,中药、西药,中药材种植开发、中成药研发生产销售、化学原料药及制剂的研发生产销售、经营医药产品批发及零售等。
1539,300159,新研股份,新疆机械研究院股份有限公司,新疆,乌鲁木齐市,185383.18,40543.6,2044,2011-01-07,--,,农用机械,航空飞行器结构件、航夭飞行器结构件、发动机结构件，农机,航空航天飞行器结构减重技术开发、应用和零部件制造服务
1540,300160,秀强股份,江苏秀强玻璃工艺股份有限公司,江苏,宿迁市,137778.89,11090.29,3423,2011-01-13,--,,玻璃,玻璃产业、教育产业,幼儿教育实体的运营及管理服务业务和玻璃深加工业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1541,300161,华中数控,武汉华中数控股份有限公司,湖北,武汉市,98519.21,3287.0,2172,2011-01-13,--,,机床设备,机床数控系统、工业机器人、新能源汽车,数控系统、机电一体化、电子、计算机、激光、通信等技术的开发、技术服务及产品销售。
1542,300162,雷曼股份,深圳雷曼光电科技股份有限公司,广东,深圳市,64450.89,2031.53,1144,2011-01-13,--,,LED,LED、体育,生产及销售发光二极管及LED显示、照明及其他应用产品
1543,300163,先锋新材,宁波先锋新材料股份有限公司,浙江,宁波市,68880.06,-2795.37,1115,2011-01-13,--,,其他化学制品,遮阳面料、遮阳成品,从事高分子复合遮阳材料(阳光面料)产品的研发、生产和销售
1544,300164,通源石油,西安通源石油科技股份有限公司,陕西,西安市,81660.01,4412.33,621,2011-01-13,--,,油田服务,石油勘探开发,油田勘探开发中的钻井、射孔、完井压裂等
1545,300165,天瑞仪器,江苏天瑞仪器股份有限公司,江苏,苏州市,79202.76,10370.91,1284,2011-01-25,--,,仪器仪表,环境保护与安全仪器、工业测试与分析仪器、环保工程与运营,以能量色散、波长色散X射线荧光光谱仪为主的高端分析仪器及应用软件的生产、销售和相关技术服务
1546,300166,东方国信,北京东方国信科技股份有限公司,北京,北京市,150598.95,43078.89,5994,2011-01-25,--,,行业应用软件,电信、金融、工业,提供完整的企业商业智能（BI）系统解决方案，包括软件产品开发与销售、技术服务和相应的系统集成等。
1547,300167,迪威迅,深圳市迪威迅股份有限公司,广东,深圳市,55747.26,-584.99,970,2011-01-25,--,,通信配套服务,综合信息化建设、园区建设,视频通讯系统、激光显示产业化和以核心产品为基础的综合信息化解决方案等领域
1548,300168,万达信息,万达信息股份有限公司,上海,上海市,241548.26,32650.7,5269,2011-01-25,--,,行业应用软件,软件开发收入、运营服务收入、集成收入,为智慧城市中的软件开发、服务和整体解决方案的提供
1549,300169,天晟新材,常州天晟新材料股份有限公司,江苏,常州市,77233.65,-3732.26,798,2011-01-25,--,,其他化学制品,塑料、橡胶、家电、交通、风电、声屏障、金融服务、生态保护、环境治理,高分子发泡材料的研发、生产和销售
1550,300170,汉得信息,上海汉得信息技术股份有限公司,上海,上海市,232504.74,32375.09,7987,2011-02-01,--,,其他软件服务,软件服务、保理,高端ERP实施服务;ERP软件外包服务;客户支持服务;ERP软件销售;BPO服务
1551,300171,东富龙,上海东富龙科技股份有限公司,上海,上海市,172487.92,12309.78,2452,2011-02-01,--,,医疗器械,冻干系统设备、冻干机、其他制药设备、医疗器械、配件及服务、净化设备及工程、食品设备,医用冻干机及冻干系统的研发、设计、生产、销售和服务。
1552,300172,中电环保,中电环保股份有限公司,江苏,南京市,68044.8,11816.16,498,2011-02-01,--,,工业水处理、市政污水处理、固废处理和烟气治理,水环境治理、固废处理、烟气治理,"工业水处理、市政污水处理、固废处理和烟气治理四项业务,以及一个环保科技服务和产业创新综合平台"
1553,300173,智慧松德,松德智慧装备股份有限公司,广东,中山市,62680.83,6718.4,503,2011-02-01,--,,工业机器人,TFT-OLED异型智能切割机系统、3D玻璃系统解决方案、金属加工系统解决方案、AOI解决方案,凹版印刷机及其成套设备的研发、生产及销售
1554,300174,元力股份,福建元力活性炭股份有限公司,福建,南平市,85332.11,4867.67,1934,2011-02-01,--,,其他化学制品,活性炭、硅酸钠、网络游戏,木质活性炭的生产销售。
1555,300175,朗源股份,朗源股份有限公司,山东,烟台市,37986.5,3960.09,360,2011-02-15,--,,果蔬加工,鲜果、果干、坚果、果仁,鲜果和干果种植管理、加工、仓储及销售
1556,300176,鸿特科技,广东鸿特科技股份有限公司,广东,肇庆市,293688.94,49115.52,16818,2011-02-15,--,,汽车零部件,工业、金融科技服务,研发、生产和销售用于汽车发动机、变速箱及底盘等制造的铝合金精密压铸件及其总成
1557,300177,中海达,广州中海达卫星导航技术股份有限公司,广东,广州市,102079.07,6701.21,2092,2011-02-15,--,,专用计算机设备,北斗+精准定位装备、北斗+行业应用软件及方案集成、北斗+时空数据、北斗+运营及设计服务,空间信息数据采集装备研发、制造、销售，空间信息数据、空间信息数据应用及解决方案提供。
1558,300178,腾邦国际,腾邦国际商业服务集团股份有限公司,广东,深圳市,352964.99,28373.13,3745,2011-02-15,--,,旅游服务,旅游业务、机票业务、差旅管理业务、金融服务业务,旅游、机票、差旅管理和金融服务。
1559,300179,四方达,河南四方达超硬材料股份有限公司,河南,郑州市,31449.77,6157.01,500,2011-02-15,--,,超硬材料,超硬复合材料、超硬复合材料制品、微粉,从事聚晶金刚石(简称PCD)及其相关制品的研发、生产和销售
1560,300180,华峰超纤,上海华峰超纤材料股份有限公司,上海,上海市,250559.39,24929.17,2022,2011-02-22,--,,塑料制品,超纤材料,超细纤维聚氨酯合成革研发、生产、销售与服务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
